kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
813021007,Taman Mesjid IV,Jl. Mesjid IV,Jakarta Barat,Cengkareng,Cengkareng Barat,1528,Taman Lingkungan
813021005,Taman Melati (Kalideres),Jl. Melati,Jakarta Barat,Cengkareng,Cengkareng Barat,610,Taman Lingkungan
813021003,Taman Utama Raya,Jl. Utama Raya,Jakarta Barat,Cengkareng,Cengkareng Barat,11150.7,Taman Lingkungan
813021013,Taman Komplek Kebersihan,Jl. Bambu Larangan Raya,Jakarta Barat,Cengkareng,Cengkareng Barat,2457.5,Taman Lingkungan
813021020,Taman Seruni,Rusun Bumi Cengkareng Indah,Jakarta Barat,Cengkareng,Cengkareng Barat,2136.2,Taman Lingkungan
813021006,Taman Beringin,Jl. Beringin Raya,Jakarta Barat,Cengkareng,Cengkareng Barat,1220,Taman Lingkungan
813021004,Taman A.A.,Jl. A.A.,Jakarta Barat,Cengkareng,Cengkareng Barat,746.3,Taman Lingkungan
813021002,Taman Puspa RW. 012,Jl. Puspa RW. 012,Jakarta Barat,Cengkareng,Cengkareng Timur,1261,Taman Lingkungan
813021032,Taman Nusa Indah III,Jl. Nusa Indah III,Jakarta Barat,Cengkareng,Cengkareng Timur,1223.7,Taman Lingkungan
813021025,Taman Nusa Indah I,Jl. Nusa Indah 2,Jakarta Barat,Cengkareng,Cengkareng Timur,1551.3,Taman Lingkungan
813021009,Taman Anggrek,Jl. Anggrek,Jakarta Barat,Cengkareng,Cengkareng Timur,2825.3,Taman Lingkungan
813021001,Taman Pedongkelan,Jl. Pedongkelan,Jakarta Barat,Cengkareng,Cengkareng Timur,1500,Taman Lingkungan
813021026,Taman Nusa Indah II,Jl. Nusa Indah,Jakarta Barat,Cengkareng,Cengkareng Timur,381,Taman Lingkungan
813021024,Taman Duri Kosambi,Jl. Duri Kosambi Utara,Jakarta Barat,Cengkareng,Duri Kosambi,2619.6,Taman Lingkungan
813021015,Taman Melati I (Kapuk),Jl. Melati,Jakarta Barat,Cengkareng,Kapuk,1430.3,Taman Lingkungan
813021011,Taman Dahlia Refungsi Dinas,Jl. Dahlia,Jakarta Barat,Cengkareng,Kapuk,301,Taman Lingkungan
813021019,Taman Puspa V,Jl. Puspa V,Jakarta Barat,Cengkareng,Kapuk,415.1,Taman Lingkungan
813021016,Taman Melati II (Kapuk),Jl. Melati,Jakarta Barat,Cengkareng,Kapuk,1540,Taman Lingkungan
813021010,Taman Dahlia,Jl. Dahlia,Jakarta Barat,Cengkareng,Kapuk,1845.6,Taman Lingkungan
813021008,Taman Akasia,Jl. Akasia Raya,Jakarta Barat,Cengkareng,Kapuk,746.8,Taman Lingkungan
813021018,Taman Puspa I,Jl. Puspa I,Jakarta Barat,Cengkareng,Kapuk,216,Taman Lingkungan
813021034,Taman Durian,Jl. Durian 3,Jakarta Barat,Cengkareng,Rawa Buaya,2692,Taman Lingkungan
813021023,Taman Pakis Raya RW.07,Jl. Pakis Raya,Jakarta Barat,Cengkareng,Rawa Buaya,1793.2,Taman Lingkungan
813021035,Taman Bawang Merah,Jl. Bawang Merah 2,Jakarta Barat,Cengkareng,Rawa Buaya,1917.4,Taman Lingkungan
813021033,Taman Buncis,Jl. Buncis I,Jakarta Barat,Cengkareng,Rawa Buaya,1736.8,Taman Lingkungan
813030045,Taman Al-Amanah,Jl. Al Amanah,Jakarta Barat,Grogol Petamburan,,1768,Taman Lingkungan
813030020,Taman Rasa Sayang,Jl. Rasa Sayang,Jakarta Barat,Grogol Petamburan,,2394.9,Taman Lingkungan
813030046,Taman Tanjung Duren IX,Jl. Tanjung Duren IX,Jakarta Barat,Grogol Petamburan,,853,Taman Lingkungan
813030044,Taman Hadiah Utama II,Jl. Hadiah Utama II,Jakarta Barat,Grogol Petamburan,,360,Taman Lingkungan
813030053,Taman Susilo IX,Jl. Susilo IX,Jakarta Barat,Grogol Petamburan,Grogol,601,Taman Lingkungan
813030019,Taman Air Mancur Empang Grogol,Jl. DR. Semeru 2,Jakarta Barat,Grogol Petamburan,Grogol,1502.8,Taman Lingkungan
813030051,Taman Makaliwe II,Jl. Makaliwe II,Jakarta Barat,Grogol Petamburan,Grogol,1000,Taman Lingkungan
813030052,Taman Susilo Raya,Jl. Susilo Raya,Jakarta Barat,Grogol Petamburan,Grogol,4300,Taman Lingkungan
813030050,Taman Makaliwe I,Jl. Makaliwe,Jakarta Barat,Grogol Petamburan,Grogol,1000,Taman Lingkungan
31010004,Taman Eks SPBU No.31-11102 Jl.Kyai Tapa,Jl.Kyai Tapa,Jakarta Barat,Grogol Petamburan,Grogol,1175,Taman Lingkungan
813030055,Taman Susilo IIIB,Jl. Susilo III,Jakarta Barat,Grogol Petamburan,Grogol,482,Taman Lingkungan
813030031,Taman Hadiah Utama III D,Jl. Hadiah Utama III D,Jakarta Barat,Grogol Petamburan,Jelambar,1494,Taman Lingkungan
813030062,Taman Madya Barat I,Jl. Madya Barat I,Jakarta Barat,Grogol Petamburan,Jelambar,419,Taman Lingkungan
813030040,Taman Hadiah Utama V,Jl. Hadiah Utama V,Jakarta Barat,Grogol Petamburan,Jelambar,1008,Taman Lingkungan
813030029,Taman Madya Utama Raya,Madya Utama Raya,Jakarta Barat,Grogol Petamburan,Jelambar,1000,Taman Lingkungan
813030060,Taman Hadiah Utama IIIC,Jl. Hadiah Utama IIIC,Jakarta Barat,Grogol Petamburan,Jelambar,295,Taman Lingkungan
813030026,Taman Satria III,Jl. Satria III,Jakarta Barat,Grogol Petamburan,Jelambar,1017,Taman Lingkungan
