MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-581.2532,22.45279,11.15801,2.4816709,-1.2405224,-3.9206033,-7.7701616,-9.841749,-7.2120943,-2.1018867,0.39670014,-1.6520162,-5.026395
-539.8592,63.791496,23.906788,3.7800896,-0.87681836,-7.816705,-14.999401,-13.378365,-2.56357,8.288118,6.5804396,-6.212556,-12.433118
-508.1452,89.63071,24.86787,2.0370822,-3.9315991,-16.030115,-19.967293,-17.958443,-10.61045,9.0268,15.198805,-6.271086,-18.406918
-493.91278,97.60332,20.331036,2.4625304,-1.5388772,-17.846003,-18.624435,-15.286424,-13.625203,6.882886,17.53865,-7.3332176,-22.681026
-462.70944,113.76337,7.3991485,-0.79232514,1.5352147,-16.820036,-10.479134,-11.391645,-22.066088,-1.8520589,9.541971,-13.284016,-16.42463
-425.8948,125.75748,-15.471606,1.2063702,12.147297,-20.726562,-12.301013,-12.070532,-26.468704,-3.344047,10.603706,-7.0227394,-8.991377
-415.74124,128.54993,-22.428238,1.8927019,18.196814,-15.362373,-9.752047,-11.645971,-21.086517,2.431149,8.6598015,-8.948687,-9.065884
-409.2977,135.66049,-19.26655,3.0321105,18.73212,-15.545387,-8.059658,-7.9779353,-19.373837,1.8996893,6.174961,-12.708997,-8.232895
-407.7074,134.71219,-20.907522,4.634671,17.04206,-20.005165,-7.6577415,-5.3532596,-19.53885,2.40694,10.264399,-8.937954,-8.972267
-403.648,135.47787,-22.356977,6.262375,15.199524,-22.277458,-5.0457563,-5.252454,-22.475521,3.5726,13.925954,-8.369707,-13.320568
-395.82196,140.98677,-23.000755,5.726515,13.450891,-24.793533,-4.8229218,-5.800793,-26.823112,-0.71939856,12.296939,-8.706088,-12.671991
-393.08905,144.00166,-20.554386,8.200468,16.909561,-19.543158,-1.919055,-5.9020104,-27.679928,-5.350218,8.302962,-6.1072617,-10.576435
-397.20868,138.16324,-19.618103,16.107311,20.580032,-19.3508,-3.0548728,-9.78191,-27.07741,-1.6590937,9.961096,0.40428507,-3.8439407
-393.31274,138.79796,-24.594505,10.336609,17.099459,-17.321087,-0.88542604,-8.857399,-19.317785,4.8565392,4.4403763,-5.670354,0.1594983
-388.03653,145.11679,-22.73712,8.140514,17.003391,-14.209942,1.2392944,-8.240614,-21.093887,-0.92621326,-0.46658617,-6.9806585,-1.7856611
-389.19168,144.12183,-20.577679,11.656191,13.715911,-21.337559,3.8547666,1.5847459,-17.756735,-4.1250315,-2.8295124,-6.2987776,-1.2379031
-387.6182,143.17665,-23.291336,12.301115,16.935213,-15.650986,10.077377,4.237659,-15.832577,-0.81299067,-1.8181398,-7.808561,-4.6901965
-383.79175,146.28336,-21.399775,12.20208,11.111416,-20.572584,8.315912,1.1691631,-15.852579,4.234271,3.356462,-3.1802957,0.5489031
-381.1308,145.91223,-22.52384,17.166903,15.597916,-22.6051,0.9388718,-5.2436347,-15.562831,4.8299904,-1.732417,-6.438911,4.8652472
-381.4361,145.81898,-22.54043,19.549759,22.21598,-17.953463,-0.49824035,-8.0844555,-15.809783,6.3747635,1.3558422,-1.9584444,4.70995
-384.5297,140.6847,-24.63905,21.265766,21.352907,-17.594467,6.1097503,-3.178183,-16.849112,6.4815903,5.0055275,-0.8331167,3.181069
